// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 7 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Dev\ArrayBoundsEliminationBench\Bdn1\bin\Release\netcoreapp3.0\04442e8a-9611-4916-85fb-1eaadda05557
// command took 1.1s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\Dev\ArrayBoundsEliminationBench\Bdn1\bin\Release\netcoreapp3.0\04442e8a-9611-4916-85fb-1eaadda05557
// command took 2.2s and exited with 0
// ***** Done, took 00:00:03 (3.41 sec)   *****
// Found 7 benchmarks:
//   LoopOverArrayOfBytes.Foreach: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
//   LoopOverArrayOfBytes.ForSimple: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
//   LoopOverArrayOfBytes.ForLocalCached: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
//   LoopOverArrayOfBytes.ListForeachSimple: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
//   LoopOverArrayOfBytes.ListForSimple: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
//   LoopOverArrayOfBytes.ListForToArray: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
//   LoopOverArrayOfBytes.ListForLocalCached: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]

// **************************
// Benchmark: LoopOverArrayOfBytes.Foreach: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "04442e8a-9611-4916-85fb-1eaadda05557.dll" --benchmarkName "Bdn1.LoopOverArrayOfBytes.Foreach(N: 50)" --job "EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0" --benchmarkId 0 in C:\Dev\ArrayBoundsEliminationBench\Bdn1\bin\Release\netcoreapp3.0\04442e8a-9611-4916-85fb-1eaadda05557\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

WorkloadResult  15: 33554432 op, 802952000.00 ns, 23.9298 ns/op

// AfterAll
// Benchmark Process 28684 has exited with code 0

Mean = 23.8425 ns, StdErr = 0.0128 ns (0.05%); N = 15, StdDev = 0.0496 ns
Min = 23.7975 ns, Q1 = 23.8029 ns, Median = 23.8125 ns, Q3 = 23.9021 ns, Max = 23.9298 ns
IQR = 0.0992 ns, LowerFence = 23.6541 ns, UpperFence = 24.0509 ns
ConfidenceInterval = [23.7896 ns; 23.8955 ns] (CI 99.9%), Margin = 0.0530 ns (0.22% of Mean)
Skewness = 0.59, Kurtosis = 1.45, MValue = 2

// **************************
// Benchmark: LoopOverArrayOfBytes.ListForeachSimple: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "04442e8a-9611-4916-85fb-1eaadda05557.dll" --benchmarkName "Bdn1.LoopOverArrayOfBytes.ListForeachSimple(N: 50)" --job "EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0" --benchmarkId 3 in C:\Dev\ArrayBoundsEliminationBench\Bdn1\bin\Release\netcoreapp3.0\04442e8a-9611-4916-85fb-1eaadda05557\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 317100.00 ns, 317.1000 us/op
WorkloadJitting  1: 1 op, 541500.00 ns, 541.5000 us/op

OverheadJitting  2: 16 op, 396200.00 ns, 24.7625 us/op
WorkloadJitting  2: 16 op, 390400.00 ns, 24.4000 us/op

WorkloadPilot    1: 16 op, 3900.00 ns, 243.7500 ns/op
WorkloadPilot    2: 32 op, 7500.00 ns, 234.3750 ns/op
WorkloadPilot    3: 64 op, 14700.00 ns, 229.6875 ns/op
WorkloadPilot    4: 128 op, 29100.00 ns, 227.3438 ns/op
WorkloadPilot    5: 256 op, 57900.00 ns, 226.1719 ns/op
WorkloadPilot    6: 512 op, 120300.00 ns, 234.9609 ns/op
WorkloadPilot    7: 1024 op, 241100.00 ns, 235.4492 ns/op
WorkloadPilot    8: 2048 op, 466200.00 ns, 227.6367 ns/op
WorkloadPilot    9: 4096 op, 938000.00 ns, 229.0039 ns/op
WorkloadPilot   10: 8192 op, 1853100.00 ns, 226.2085 ns/op
WorkloadPilot   11: 16384 op, 3694300.00 ns, 225.4822 ns/op
WorkloadPilot   12: 32768 op, 7432100.00 ns, 226.8097 ns/op
WorkloadPilot   13: 65536 op, 14809600.00 ns, 225.9766 ns/op
WorkloadPilot   14: 131072 op, 29713100.00 ns, 226.6930 ns/op
WorkloadPilot   15: 262144 op, 59315700.00 ns, 226.2714 ns/op
WorkloadPilot   16: 524288 op, 118594400.00 ns, 226.2009 ns/op
WorkloadPilot   17: 1048576 op, 240550600.00 ns, 229.4069 ns/op
WorkloadPilot   18: 2097152 op, 490128700.00 ns, 233.7116 ns/op
WorkloadPilot   19: 4194304 op, 950305000.00 ns, 226.5704 ns/op

OverheadWarmup   1: 4194304 op, 5834000.00 ns, 1.3909 ns/op
OverheadWarmup   2: 4194304 op, 5810200.00 ns, 1.3853 ns/op
OverheadWarmup   3: 4194304 op, 5755200.00 ns, 1.3721 ns/op
OverheadWarmup   4: 4194304 op, 5786900.00 ns, 1.3797 ns/op
OverheadWarmup   5: 4194304 op, 5757200.00 ns, 1.3726 ns/op
OverheadWarmup   6: 4194304 op, 5820100.00 ns, 1.3876 ns/op
OverheadWarmup   7: 4194304 op, 5749500.00 ns, 1.3708 ns/op

OverheadActual   1: 4194304 op, 5776900.00 ns, 1.3773 ns/op
OverheadActual   2: 4194304 op, 5777800.00 ns, 1.3775 ns/op
OverheadActual   3: 4194304 op, 5835800.00 ns, 1.3914 ns/op
OverheadActual   4: 4194304 op, 5837400.00 ns, 1.3917 ns/op
OverheadActual   5: 4194304 op, 5790600.00 ns, 1.3806 ns/op
OverheadActual   6: 4194304 op, 5801700.00 ns, 1.3832 ns/op
OverheadActual   7: 4194304 op, 5800200.00 ns, 1.3829 ns/op
OverheadActual   8: 4194304 op, 5818800.00 ns, 1.3873 ns/op
OverheadActual   9: 4194304 op, 5834700.00 ns, 1.3911 ns/op
OverheadActual  10: 4194304 op, 5800400.00 ns, 1.3829 ns/op
OverheadActual  11: 4194304 op, 5789500.00 ns, 1.3803 ns/op
OverheadActual  12: 4194304 op, 5787800.00 ns, 1.3799 ns/op
OverheadActual  13: 4194304 op, 5851800.00 ns, 1.3952 ns/op
OverheadActual  14: 4194304 op, 5789700.00 ns, 1.3804 ns/op
OverheadActual  15: 4194304 op, 5831400.00 ns, 1.3903 ns/op

WorkloadWarmup   1: 4194304 op, 948256900.00 ns, 226.0821 ns/op
WorkloadWarmup   2: 4194304 op, 950454900.00 ns, 226.6061 ns/op
WorkloadWarmup   3: 4194304 op, 947109900.00 ns, 225.8086 ns/op
WorkloadWarmup   4: 4194304 op, 949626500.00 ns, 226.4086 ns/op
WorkloadWarmup   5: 4194304 op, 950896900.00 ns, 226.7115 ns/op
WorkloadWarmup   6: 4194304 op, 948989800.00 ns, 226.2568 ns/op

// BeforeActualRun
WorkloadActual   1: 4194304 op, 946735100.00 ns, 225.7192 ns/op
WorkloadActual   2: 4194304 op, 947091900.00 ns, 225.8043 ns/op
WorkloadActual   3: 4194304 op, 946982800.00 ns, 225.7783 ns/op
WorkloadActual   4: 4194304 op, 947160000.00 ns, 225.8205 ns/op
WorkloadActual   5: 4194304 op, 950697900.00 ns, 226.6640 ns/op
WorkloadActual   6: 4194304 op, 949864600.00 ns, 226.4654 ns/op
WorkloadActual   7: 4194304 op, 947350900.00 ns, 225.8661 ns/op
WorkloadActual   8: 4194304 op, 952490000.00 ns, 227.0913 ns/op
WorkloadActual   9: 4194304 op, 947688700.00 ns, 225.9466 ns/op
WorkloadActual  10: 4194304 op, 947113200.00 ns, 225.8094 ns/op
WorkloadActual  11: 4194304 op, 946904500.00 ns, 225.7596 ns/op
WorkloadActual  12: 4194304 op, 1018825100.00 ns, 242.9068 ns/op
WorkloadActual  13: 4194304 op, 950132100.00 ns, 226.5291 ns/op
WorkloadActual  14: 4194304 op, 948013400.00 ns, 226.0240 ns/op
WorkloadActual  15: 4194304 op, 947084300.00 ns, 225.8025 ns/op

// AfterActualRun
WorkloadResult   1: 4194304 op, 940934700.00 ns, 224.3363 ns/op
WorkloadResult   2: 4194304 op, 941291500.00 ns, 224.4214 ns/op
WorkloadResult   3: 4194304 op, 941182400.00 ns, 224.3954 ns/op
WorkloadResult   4: 4194304 op, 941359600.00 ns, 224.4376 ns/op
WorkloadResult   5: 4194304 op, 944897500.00 ns, 225.2811 ns/op
WorkloadResult   6: 4194304 op, 944064200.00 ns, 225.0824 ns/op
WorkloadResult   7: 4194304 op, 941550500.00 ns, 224.4831 ns/op
WorkloadResult   8: 4194304 op, 946689600.00 ns, 225.7084 ns/op
WorkloadResult   9: 4194304 op, 941888300.00 ns, 224.5637 ns/op
WorkloadResult  10: 4194304 op, 941312800.00 ns, 224.4265 ns/op
WorkloadResult  11: 4194304 op, 941104100.00 ns, 224.3767 ns/op
WorkloadResult  12: 4194304 op, 944331700.00 ns, 225.1462 ns/op
WorkloadResult  13: 4194304 op, 942213000.00 ns, 224.6411 ns/op
WorkloadResult  14: 4194304 op, 941283900.00 ns, 224.4196 ns/op

// AfterAll
// Benchmark Process 25716 has exited with code 0

Mean = 224.6942 ns, StdErr = 0.1148 ns (0.05%); N = 14, StdDev = 0.4295 ns
Min = 224.3363 ns, Q1 = 224.4196 ns, Median = 224.4604 ns, Q3 = 225.0824 ns, Max = 225.7084 ns
IQR = 0.6629 ns, LowerFence = 223.4253 ns, UpperFence = 226.0768 ns
ConfidenceInterval = [224.2097 ns; 225.1787 ns] (CI 99.9%), Margin = 0.4845 ns (0.22% of Mean)
Skewness = 1.08, Kurtosis = 2.73, MValue = 2

// **************************
// Benchmark: LoopOverArrayOfBytes.ListForSimple: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "04442e8a-9611-4916-85fb-1eaadda05557.dll" --benchmarkName "Bdn1.LoopOverArrayOfBytes.ListForSimple(N: 50)" --job "EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0" --benchmarkId 4 in C:\Dev\ArrayBoundsEliminationBench\Bdn1\bin\Release\netcoreapp3.0\04442e8a-9611-4916-85fb-1eaadda05557\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 273500.00 ns, 273.5000 us/op
WorkloadJitting  1: 1 op, 341200.00 ns, 341.2000 us/op

OverheadJitting  2: 16 op, 405300.00 ns, 25.3313 us/op
WorkloadJitting  2: 16 op, 356300.00 ns, 22.2688 us/op

WorkloadPilot    1: 16 op, 1200.00 ns, 75.0000 ns/op
WorkloadPilot    2: 32 op, 2000.00 ns, 62.5000 ns/op
WorkloadPilot    3: 64 op, 3700.00 ns, 57.8125 ns/op
WorkloadPilot    4: 128 op, 7100.00 ns, 55.4688 ns/op
WorkloadPilot    5: 256 op, 13800.00 ns, 53.9062 ns/op
WorkloadPilot    6: 512 op, 27200.00 ns, 53.1250 ns/op
WorkloadPilot    7: 1024 op, 53900.00 ns, 52.6367 ns/op
WorkloadPilot    8: 2048 op, 107400.00 ns, 52.4414 ns/op
WorkloadPilot    9: 4096 op, 214400.00 ns, 52.3438 ns/op
WorkloadPilot   10: 8192 op, 431400.00 ns, 52.6611 ns/op
WorkloadPilot   11: 16384 op, 859400.00 ns, 52.4536 ns/op
WorkloadPilot   12: 32768 op, 1604500.00 ns, 48.9655 ns/op
WorkloadPilot   13: 65536 op, 3439100.00 ns, 52.4765 ns/op
WorkloadPilot   14: 131072 op, 6261200.00 ns, 47.7692 ns/op
WorkloadPilot   15: 262144 op, 12788500.00 ns, 48.7843 ns/op
WorkloadPilot   16: 524288 op, 25325700.00 ns, 48.3049 ns/op
WorkloadPilot   17: 1048576 op, 49336100.00 ns, 47.0506 ns/op
WorkloadPilot   18: 2097152 op, 98470900.00 ns, 46.9546 ns/op
WorkloadPilot   19: 4194304 op, 197680100.00 ns, 47.1306 ns/op
WorkloadPilot   20: 8388608 op, 394025700.00 ns, 46.9715 ns/op
WorkloadPilot   21: 16777216 op, 788917200.00 ns, 47.0231 ns/op

OverheadWarmup   1: 16777216 op, 23091300.00 ns, 1.3763 ns/op
OverheadWarmup   2: 16777216 op, 23166300.00 ns, 1.3808 ns/op
OverheadWarmup   3: 16777216 op, 23166000.00 ns, 1.3808 ns/op
OverheadWarmup   4: 16777216 op, 23127900.00 ns, 1.3785 ns/op
OverheadWarmup   5: 16777216 op, 23093400.00 ns, 1.3765 ns/op
OverheadWarmup   6: 16777216 op, 23227300.00 ns, 1.3845 ns/op
OverheadWarmup   7: 16777216 op, 23113000.00 ns, 1.3776 ns/op

OverheadActual   1: 16777216 op, 23136700.00 ns, 1.3791 ns/op
OverheadActual   2: 16777216 op, 23047300.00 ns, 1.3737 ns/op
OverheadActual   3: 16777216 op, 23688600.00 ns, 1.4120 ns/op
OverheadActual   4: 16777216 op, 23766400.00 ns, 1.4166 ns/op
OverheadActual   5: 16777216 op, 23064200.00 ns, 1.3747 ns/op
OverheadActual   6: 16777216 op, 23106200.00 ns, 1.3772 ns/op
OverheadActual   7: 16777216 op, 23217700.00 ns, 1.3839 ns/op
OverheadActual   8: 16777216 op, 23077500.00 ns, 1.3755 ns/op
OverheadActual   9: 16777216 op, 23136700.00 ns, 1.3791 ns/op
OverheadActual  10: 16777216 op, 23127400.00 ns, 1.3785 ns/op
OverheadActual  11: 16777216 op, 23200100.00 ns, 1.3828 ns/op
OverheadActual  12: 16777216 op, 23155900.00 ns, 1.3802 ns/op
OverheadActual  13: 16777216 op, 23197300.00 ns, 1.3827 ns/op
OverheadActual  14: 16777216 op, 23125900.00 ns, 1.3784 ns/op
OverheadActual  15: 16777216 op, 23298900.00 ns, 1.3887 ns/op

WorkloadWarmup   1: 16777216 op, 789067700.00 ns, 47.0321 ns/op
WorkloadWarmup   2: 16777216 op, 788152600.00 ns, 46.9776 ns/op
WorkloadWarmup   3: 16777216 op, 787787800.00 ns, 46.9558 ns/op
WorkloadWarmup   4: 16777216 op, 788664900.00 ns, 47.0081 ns/op
WorkloadWarmup   5: 16777216 op, 788728500.00 ns, 47.0119 ns/op
WorkloadWarmup   6: 16777216 op, 787750100.00 ns, 46.9536 ns/op
WorkloadWarmup   7: 16777216 op, 788024100.00 ns, 46.9699 ns/op
WorkloadWarmup   8: 16777216 op, 788331800.00 ns, 46.9882 ns/op
WorkloadWarmup   9: 16777216 op, 788017300.00 ns, 46.9695 ns/op

// BeforeActualRun
WorkloadActual   1: 16777216 op, 791250700.00 ns, 47.1622 ns/op
WorkloadActual   2: 16777216 op, 789431800.00 ns, 47.0538 ns/op
WorkloadActual   3: 16777216 op, 788611600.00 ns, 47.0049 ns/op
WorkloadActual   4: 16777216 op, 792999300.00 ns, 47.2664 ns/op
WorkloadActual   5: 16777216 op, 788220000.00 ns, 46.9816 ns/op
WorkloadActual   6: 16777216 op, 790681600.00 ns, 47.1283 ns/op
WorkloadActual   7: 16777216 op, 788389900.00 ns, 46.9917 ns/op
WorkloadActual   8: 16777216 op, 788449700.00 ns, 46.9953 ns/op
WorkloadActual   9: 16777216 op, 792192800.00 ns, 47.2184 ns/op
WorkloadActual  10: 16777216 op, 801549700.00 ns, 47.7761 ns/op
WorkloadActual  11: 16777216 op, 789935600.00 ns, 47.0838 ns/op
WorkloadActual  12: 16777216 op, 791706600.00 ns, 47.1894 ns/op
WorkloadActual  13: 16777216 op, 789548700.00 ns, 47.0608 ns/op
WorkloadActual  14: 16777216 op, 795607800.00 ns, 47.4219 ns/op
WorkloadActual  15: 16777216 op, 787868800.00 ns, 46.9606 ns/op

// AfterActualRun
WorkloadResult   1: 16777216 op, 768114000.00 ns, 45.7832 ns/op
WorkloadResult   2: 16777216 op, 766295100.00 ns, 45.6747 ns/op
WorkloadResult   3: 16777216 op, 765474900.00 ns, 45.6259 ns/op
WorkloadResult   4: 16777216 op, 769862600.00 ns, 45.8874 ns/op
WorkloadResult   5: 16777216 op, 765083300.00 ns, 45.6025 ns/op
WorkloadResult   6: 16777216 op, 767544900.00 ns, 45.7492 ns/op
WorkloadResult   7: 16777216 op, 765253200.00 ns, 45.6126 ns/op
WorkloadResult   8: 16777216 op, 765313000.00 ns, 45.6162 ns/op
WorkloadResult   9: 16777216 op, 769056100.00 ns, 45.8393 ns/op
WorkloadResult  10: 16777216 op, 766798900.00 ns, 45.7048 ns/op
WorkloadResult  11: 16777216 op, 768569900.00 ns, 45.8103 ns/op
WorkloadResult  12: 16777216 op, 766412000.00 ns, 45.6817 ns/op
WorkloadResult  13: 16777216 op, 772471100.00 ns, 46.0429 ns/op
WorkloadResult  14: 16777216 op, 764732100.00 ns, 45.5816 ns/op

// AfterAll
// Benchmark Process 21884 has exited with code 0

Mean = 45.7295 ns, StdErr = 0.0352 ns (0.08%); N = 14, StdDev = 0.1319 ns
Min = 45.5816 ns, Q1 = 45.6162 ns, Median = 45.6932 ns, Q3 = 45.8103 ns, Max = 46.0429 ns
IQR = 0.1941 ns, LowerFence = 45.3250 ns, UpperFence = 46.1015 ns
ConfidenceInterval = [45.5807 ns; 45.8782 ns] (CI 99.9%), Margin = 0.1488 ns (0.33% of Mean)
Skewness = 0.84, Kurtosis = 2.76, MValue = 2

// **************************
// Benchmark: LoopOverArrayOfBytes.ListForToArray: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "04442e8a-9611-4916-85fb-1eaadda05557.dll" --benchmarkName "Bdn1.LoopOverArrayOfBytes.ListForToArray(N: 50)" --job "EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0" --benchmarkId 5 in C:\Dev\ArrayBoundsEliminationBench\Bdn1\bin\Release\netcoreapp3.0\04442e8a-9611-4916-85fb-1eaadda05557\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 283800.00 ns, 283.8000 us/op
WorkloadJitting  1: 1 op, 296100.00 ns, 296.1000 us/op

OverheadJitting  2: 16 op, 393900.00 ns, 24.6187 us/op
WorkloadJitting  2: 16 op, 391500.00 ns, 24.4688 us/op

WorkloadPilot    1: 16 op, 2000.00 ns, 125.0000 ns/op
WorkloadPilot    2: 32 op, 2600.00 ns, 81.2500 ns/op
WorkloadPilot    3: 64 op, 3800.00 ns, 59.3750 ns/op
WorkloadPilot    4: 128 op, 6800.00 ns, 53.1250 ns/op
WorkloadPilot    5: 256 op, 14500.00 ns, 56.6406 ns/op
WorkloadPilot    6: 512 op, 24000.00 ns, 46.8750 ns/op
WorkloadPilot    7: 1024 op, 48200.00 ns, 47.0703 ns/op
WorkloadPilot    8: 2048 op, 95300.00 ns, 46.5332 ns/op
WorkloadPilot    9: 4096 op, 235300.00 ns, 57.4463 ns/op
WorkloadPilot   10: 8192 op, 458800.00 ns, 56.0059 ns/op
WorkloadPilot   11: 16384 op, 905300.00 ns, 55.2551 ns/op
WorkloadPilot   12: 32768 op, 1854400.00 ns, 56.5918 ns/op
WorkloadPilot   13: 65536 op, 3720900.00 ns, 56.7764 ns/op
WorkloadPilot   14: 131072 op, 6161800.00 ns, 47.0108 ns/op
WorkloadPilot   15: 262144 op, 10976500.00 ns, 41.8720 ns/op
WorkloadPilot   16: 524288 op, 22237500.00 ns, 42.4147 ns/op
WorkloadPilot   17: 1048576 op, 43326800.00 ns, 41.3197 ns/op
WorkloadPilot   18: 2097152 op, 86428700.00 ns, 41.2124 ns/op
WorkloadPilot   19: 4194304 op, 170637600.00 ns, 40.6832 ns/op
WorkloadPilot   20: 8388608 op, 341809300.00 ns, 40.7468 ns/op
WorkloadPilot   21: 16777216 op, 686185200.00 ns, 40.8998 ns/op

OverheadWarmup   1: 16777216 op, 23431500.00 ns, 1.3966 ns/op
OverheadWarmup   2: 16777216 op, 23474500.00 ns, 1.3992 ns/op
OverheadWarmup   3: 16777216 op, 23458700.00 ns, 1.3982 ns/op
OverheadWarmup   4: 16777216 op, 23419200.00 ns, 1.3959 ns/op
OverheadWarmup   5: 16777216 op, 23396200.00 ns, 1.3945 ns/op
OverheadWarmup   6: 16777216 op, 23452100.00 ns, 1.3979 ns/op
OverheadWarmup   7: 16777216 op, 23395500.00 ns, 1.3945 ns/op

OverheadActual   1: 16777216 op, 23474400.00 ns, 1.3992 ns/op
OverheadActual   2: 16777216 op, 23435300.00 ns, 1.3969 ns/op
OverheadActual   3: 16777216 op, 23432300.00 ns, 1.3967 ns/op
OverheadActual   4: 16777216 op, 23423100.00 ns, 1.3961 ns/op
OverheadActual   5: 16777216 op, 23404400.00 ns, 1.3950 ns/op
OverheadActual   6: 16777216 op, 23538000.00 ns, 1.4030 ns/op
OverheadActual   7: 16777216 op, 23468600.00 ns, 1.3988 ns/op
OverheadActual   8: 16777216 op, 23474900.00 ns, 1.3992 ns/op
OverheadActual   9: 16777216 op, 23488000.00 ns, 1.4000 ns/op
OverheadActual  10: 16777216 op, 23478700.00 ns, 1.3994 ns/op
OverheadActual  11: 16777216 op, 23622300.00 ns, 1.4080 ns/op
OverheadActual  12: 16777216 op, 23497800.00 ns, 1.4006 ns/op
OverheadActual  13: 16777216 op, 23784900.00 ns, 1.4177 ns/op
OverheadActual  14: 16777216 op, 23434000.00 ns, 1.3968 ns/op
OverheadActual  15: 16777216 op, 23438900.00 ns, 1.3971 ns/op

WorkloadWarmup   1: 16777216 op, 685173900.00 ns, 40.8395 ns/op
WorkloadWarmup   2: 16777216 op, 686304700.00 ns, 40.9069 ns/op
WorkloadWarmup   3: 16777216 op, 688449300.00 ns, 41.0348 ns/op
WorkloadWarmup   4: 16777216 op, 703224000.00 ns, 41.9154 ns/op
WorkloadWarmup   5: 16777216 op, 706762100.00 ns, 42.1263 ns/op
WorkloadWarmup   6: 16777216 op, 682300900.00 ns, 40.6683 ns/op
WorkloadWarmup   7: 16777216 op, 679545400.00 ns, 40.5041 ns/op
WorkloadWarmup   8: 16777216 op, 684989300.00 ns, 40.8285 ns/op
WorkloadWarmup   9: 16777216 op, 681788500.00 ns, 40.6378 ns/op

// BeforeActualRun
WorkloadActual   1: 16777216 op, 680698900.00 ns, 40.5728 ns/op
WorkloadActual   2: 16777216 op, 676286900.00 ns, 40.3098 ns/op
WorkloadActual   3: 16777216 op, 685470000.00 ns, 40.8572 ns/op
WorkloadActual   4: 16777216 op, 691319300.00 ns, 41.2058 ns/op
WorkloadActual   5: 16777216 op, 688385400.00 ns, 41.0310 ns/op
WorkloadActual   6: 16777216 op, 680961700.00 ns, 40.5885 ns/op
WorkloadActual   7: 16777216 op, 676462900.00 ns, 40.3203 ns/op
WorkloadActual   8: 16777216 op, 681270600.00 ns, 40.6069 ns/op
WorkloadActual   9: 16777216 op, 678978000.00 ns, 40.4702 ns/op
WorkloadActual  10: 16777216 op, 687377100.00 ns, 40.9709 ns/op
WorkloadActual  11: 16777216 op, 696328600.00 ns, 41.5044 ns/op
WorkloadActual  12: 16777216 op, 687109700.00 ns, 40.9549 ns/op
WorkloadActual  13: 16777216 op, 687284700.00 ns, 40.9654 ns/op
WorkloadActual  14: 16777216 op, 692971800.00 ns, 41.3043 ns/op
WorkloadActual  15: 16777216 op, 691911700.00 ns, 41.2412 ns/op

// AfterActualRun
WorkloadResult   1: 16777216 op, 657224500.00 ns, 39.1736 ns/op
WorkloadResult   2: 16777216 op, 652812500.00 ns, 38.9107 ns/op
WorkloadResult   3: 16777216 op, 661995600.00 ns, 39.4580 ns/op
WorkloadResult   4: 16777216 op, 667844900.00 ns, 39.8067 ns/op
WorkloadResult   5: 16777216 op, 664911000.00 ns, 39.6318 ns/op
WorkloadResult   6: 16777216 op, 657487300.00 ns, 39.1893 ns/op
WorkloadResult   7: 16777216 op, 652988500.00 ns, 38.9211 ns/op
WorkloadResult   8: 16777216 op, 657796200.00 ns, 39.2077 ns/op
WorkloadResult   9: 16777216 op, 655503600.00 ns, 39.0711 ns/op
WorkloadResult  10: 16777216 op, 663902700.00 ns, 39.5717 ns/op
WorkloadResult  11: 16777216 op, 672854200.00 ns, 40.1052 ns/op
WorkloadResult  12: 16777216 op, 663635300.00 ns, 39.5557 ns/op
WorkloadResult  13: 16777216 op, 663810300.00 ns, 39.5662 ns/op
WorkloadResult  14: 16777216 op, 669497400.00 ns, 39.9052 ns/op
WorkloadResult  15: 16777216 op, 668437300.00 ns, 39.8420 ns/op

// AfterAll
// Benchmark Process 7552 has exited with code 0

Mean = 39.4611 ns, StdErr = 0.0953 ns (0.24%); N = 15, StdDev = 0.3689 ns
Min = 38.9107 ns, Q1 = 39.1736 ns, Median = 39.5557 ns, Q3 = 39.8067 ns, Max = 40.1052 ns
IQR = 0.6330 ns, LowerFence = 38.2241 ns, UpperFence = 40.7562 ns
ConfidenceInterval = [39.0667 ns; 39.8554 ns] (CI 99.9%), Margin = 0.3944 ns (1.00% of Mean)
Skewness = 0.02, Kurtosis = 1.67, MValue = 2

// **************************
// Benchmark: LoopOverArrayOfBytes.ListForLocalCached: Job-ZDRRPD(EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0) [N=50]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "04442e8a-9611-4916-85fb-1eaadda05557.dll" --benchmarkName "Bdn1.LoopOverArrayOfBytes.ListForLocalCached(N: 50)" --job "EnvironmentVariables=COMPLUS_TieredCompilation=1, Runtime=.NET Core 3.0" --benchmarkId 6 in C:\Dev\ArrayBoundsEliminationBench\Bdn1\bin\Release\netcoreapp3.0\04442e8a-9611-4916-85fb-1eaadda05557\bin\Release\netcoreapp3.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.0.0 (CoreCLR 4.700.19.46205, CoreFX 4.700.19.46214), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 268000.00 ns, 268.0000 us/op
WorkloadJitting  1: 1 op, 337700.00 ns, 337.7000 us/op

OverheadJitting  2: 16 op, 399500.00 ns, 24.9688 us/op
